Time, Finish
0,3,2,0,1.320068,1.25,14.36,0.26,59,1,57,59,66
3,2,2,0,3.619995,0.75,1.86,0.26,11,1,9,11,19
3,2,3,2,0,0,0,0.26,4,0,1,3,4
0,0,1,1,0.5400391,0.5,0,0,3,0,0,2,4
0,3,1,3,0.2799072,0.25,0,0,3,0,0,2,5
1,0,2,1,0.5400391,0.5,0,0,3,0,0,2,3
3,0,1,0,0.5400391,0.5,0,0,3,0,0,2,7
3,1,0,2,1.060059,1,0,0,3,0,0,2,5
2,1,1,3,0.8000488,0.75,0,0,3,0,0,2,5
1,2,1,0,0.539917,0.5,0,0,3,0,0,2,3
1,3,1,1,0.5400391,0.5,0,0,3,0,0,2,2
3,2,3,1,0.2800293,0.25,0,0,3,0,0,2,4
1,0,0,0,0.2800293,0.25,0,0,3,0,0,2,1
2,3,0,3,0.5400391,0.5,0,0,3,0,0,2,5
0,2,2,3,1.640015,0.75,0.7799999,0,6,0,3,5,8
1,2,0,3,0.5400391,0.5,0,0,3,0,0,2,4
3,3,0,2,1.059937,1,0,0,3,0,0,2,7
2,2,1,1,0.5400391,0.5,0,0,3,0,0,2,4
0,2,3,1,1.059937,1,0,0,3,0,0,2,5
0,3,1,1,0.8000488,0.75,0,0,3,0,0,2,6
3,0,2,2,0.7999268,0.75,0,0,3,0,0,2,6
0,0,0,0,0,0,0,0,3,0,0,2,6
0,2,2,2,0.5400391,0.5,0,0,3,0,0,2,4
3,3,0,1,1.320068,1.25,0,0,3,0,0,2,11
1,3,2,2,0.5400391,0.5,0,0,3,0,0,2,4
2,1,2,3,0.539917,0.5,0,0,3,0,0,2,3
3,1,3,0,0.2799072,0.25,0,0,3,0,0,2,8
1,3,3,2,0.8000488,0.75,0,0,3,0,0,2,4
1,1,1,3,0.5400391,0.5,0,0,3,0,0,2,5
0,3,1,3,4.219971,0.25,2.9,0.26,15,1,13,15,24
0,3,1,1,0.7999268,0.75,0.26,0,4,0,1,3,5
1,2,0,2,0.2799072,0.25,0,0,3,0,0,2,2
0,1,3,1,0.8000488,0.75,0,0,3,0,0,2,4
0,0,1,1,0.5400391,0.5,0,0,3,0,0,2,6
3,1,1,3,1.059937,1,12.22,0,50,0,47,49,55
2,3,2,2,0.2799072,0.25,0,0,3,0,0,2,4
2,2,0,0,1.060059,1,0,0,3,0,0,2,4
1,3,3,2,0.8000488,0.75,0,0,3,0,0,2,3
0,1,3,0,1.059937,1,0,0,3,0,0,2,5
0,1,0,2,0.2799072,0.25,10.66,0,44,0,41,43,46
1,0,0,3,1.060059,1,0,0,3,0,0,2,6
3,3,1,2,0.8000488,0.75,0,0,3,0,0,2,7
3,2,0,1,1.059937,1,0,0,3,0,0,2,12
0,0,2,2,1.060059,1,0,0,3,0,0,2,7
0,0,3,3,1.599976,1.5,0,0,3,0,0,2,12
3,0,0,1,1.059937,1,0,0,3,0,0,2,10
1,3,1,3,0,0,0,0,3,0,0,2,2
3,1,2,0,0.5400391,0.5,0,0,3,0,0,2,5
1,3,0,3,0.2800293,0.25,0,0,3,0,0,2,1
0,1,3,0,1.060059,1,0,0,3,0,0,2,7
2,2,1,2,0.2800293,0.25,0,0,3,0,0,2,4
2,1,2,2,0.2800293,0.25,0,0,3,0,0,2,3
1,3,3,0,1.319824,1.25,0,0,3,0,0,2,10
1,1,2,0,0.5397949,0.5,0,0,3,0,0,2,4
0,0,1,3,1.080078,1,0,0,3,0,0,2,8
1,0,3,2,1.079834,1,0,0,3,0,0,2,6
1,3,0,3,0.2800293,0.25,3.38,0,16,0,13,15,17
1,0,1,0,0,0,0,0,3,0,0,2,3
2,3,1,1,0.8200684,0.75,0,0,3,0,0,2,7
2,3,0,0,1.320068,1.25,3.9,0,18,0,15,17,24
3,2,3,3,0.2800293,0.25,0,0,3,0,0,2,4
2,2,0,2,0.5400391,0.5,0,0,3,0,0,2,10
2,1,2,2,0.2800293,0.25,0,0,3,0,0,2,4
2,3,0,3,0.5400391,0.5,0,0,3,0,0,2,3
2,1,1,2,0.5400391,0.5,0,0,3,0,0,2,5
1,1,3,2,0.7998047,0.75,0,0,3,0,0,2,4
2,3,0,1,1.060059,1,0,0,3,0,0,2,6
3,3,1,0,1.320068,1.25,0,0,3,0,0,2,6
0,1,2,3,1.060059,1,0,0,3,0,0,2,4
0,1,3,2,1.060059,1,0,0,3,0,0,2,6
1,0,2,2,0.8000488,0.75,0,0,3,0,0,2,7
2,2,0,1,1.339844,0.75,0,0,3,0,0,2,7
1,1,0,2,1.100098,0.5,0.26,0.26,5,0,2,4,7
0,3,2,1,1.079834,1,0,0.26,4,0,1,3,9
0,1,3,2,1.079834,1,5.399998,0.26,24,1,22,24,31
1,1,3,3,1.059814,1,0,0,3,0,0,2,5
2,0,0,1,0.7998047,0.75,0,0,3,0,0,2,6
0,2,2,0,1.059814,1,0,0,3,0,0,2,8
3,2,2,1,0.5400391,0.5,0,0,3,0,0,2,6
