StartX, StartZ, PickUpX, PickUpZ, DropDownX, DropDownZ, StartTime, ActualTime, AssumptionTime, WaitForGoalTime, JammingTime, MainStateChangeCount, RedirectStateChangeCount, JamStateChangeCount, PathChangeCount, PathUpdateCount, PathTurnCount, TotalDistanceX, TotalDistanceZ
18,18,18,18,18,18,0,0,0,0,0,3,0,0,2,0,0,0,0
9,0,9,0,8,0,0,0.54,0.5,0,0,3,0,0,2,1,1,1,0
10,0,10,0,11,3,0,2.08,2,0,0,3,0,0,2,4,2,1,3
15,5,15,5,18,4,0,2.6,2,0.52,0,4,0,1,3,5,3,3,1
6,10,6,10,6,15,0,2.62,2.5,0,0,3,0,0,2,5,1,0,5
4,6,4,6,8,7,0,2.62,2.5,0,0,3,0,0,2,5,2,4,1
4,4,4,4,8,3,0,4.3,2.5,1.04,0.52,6,0,3,5,8,5,4,1
4,15,4,15,3,10,0,4.84,3,0.52,1.04,6,0,3,5,9,5,1,5
14,5,14,5,6,6,0,5.38,4.5,0,0.52,4,0,1,3,10,3,8,1
15,15,15,15,7,15,0,6.52,4,0,1.06,5,1,3,5,15,9,8,2
5,5,5,5,9,7,0,7.18,3,1.56,2.12,9,1,7,9,14,9,4,2
14,15,14,15,1,16,0,8.079999,7,0,0.52,4,0,1,3,17,6,13,1
1,11,1,11,7,4,0,8.079999,6.5,0,1.04,5,0,2,4,15,4,6,7
0,2,0,2,10,8,0,8.559999,8,0,0,3,0,0,2,16,2,10,6
4,16,4,16,14,19,0,8.679999,6.5,0,0.54,4,0,1,3,18,6,10,5
7,12,7,12,10,3,0,8.799999,6,0,2.16,7,0,4,6,16,6,3,9
18,2,18,2,13,8,0,8.86,5.5,1.08,0.54,6,1,4,6,19,10,5,8.08
5,15,5,15,7,1,0,9.16,8,0,0.54,4,0,1,3,17,3,2,14
14,6,14,6,5,9,0,9.4,6,0,2.72,8,0,5,7,17,7,9,3
2,18,2,18,14,12,0,9.639999,9,0,0,3,0,0,2,18,2,12,6
4,5,4,5,17,2,0,10.24,8,0,1.56,6,0,3,5,19,5,13,3
18,16,18,16,10,8,0,11.44,8,0.54,1.08,6,1,3,6,20,6,10,8
9,12,9,12,15,5,0,11.56,6.5,0,4.14,10,2,9,11,22,11,6,7
15,10,15,10,1,17,0,11.86,10.5,0,0.52,4,0,1,3,22,3,14,7
8,9,8,9,16,17,0,11.98,8,0,2.1,7,0,4,6,24,11,8,10
2,10,2,10,16,1,0,12.34,11.5,0,0,3,0,0,2,23,2,14,8.999999
1,10,1,10,18,14,0,12.94,10.5,0,1.56,6,0,3,5,24,5,17,4
9,13,9,13,15,9,0,13.84,5,0,3.72,10,0,7,9,27,15,10.24,8
15,11,15,11,5,5,0,14.8,8,0,3.48,9,2,8,10,33,19,12,8
10,8,10,8,2,10,0,15.04,5,0.54,5.24,12,3,12,14,31,16,10,6.08
18,10,18,10,6,3,0,15.22,9.5,0.54,3.04,9,1,7,9,28,9,14,7
10,12,10,12,18,1,0,16.24,9.5,0,4.34,11,3,11,13,34,18,8,13
10,18,10,18,8,6,0,17.56,7,1.5,4.32,13,2,12,14,33,15,2,18.47998
0,18,0,18,10,5,0,17.56,11.5,0,2.7,8,0,5,7,34,11,10,16.99999
14,16,14,16,19,0,0,17.68,10.5,0,4.8,12,1,10,12,33,12,5,18.00002
4,3,4,3,9,17,0,20.68,9.5,0,5.34,12,4,13,15,43,19,9,17.99999
9,1,9,1,5,15,0,21.82,9,0,4.92,12,3,12,14,45,18,14,16
4,2,4,2,8,13,0,23.44,7.5,0,7.86,17,5,18,21,48,24,6,20.99996
8,8,8,8,14,16,0,26.6,7,0.42,11.44,23,6,25,28,51,34,14,10
0,5,0,5,17,15,0,28.1,13.5,0,5.02,11,2,10,12,53,24,24.99994,16
7,4,7,4,7,3,28.25106,0.6000004,0.5,0,0,3,0,0,2,1,1,0,1
8,6,8,6,9,6,28.25106,0.7000008,0.5,0,0,3,0,0,2,1,1,1,0
17,4,17,4,14,3,28.25106,2.300001,2,0,0,3,0,0,2,4,2,3,1
7,6,7,6,4,7,28.25106,2.5,2,0,0,3,0,0,2,4,2,3,1
11,2,11,2,6,2,28.25106,3.1,2.5,0,0,3,0,0,2,5,1,5,0
6,16,6,16,3,19,28.25106,3.300001,3,0,0,3,0,0,2,6,2,3,3
15,9,15,9,19,12,28.25106,4,3.5,0,0,3,0,0,2,7,2,4,3
6,6,6,6,5,2,28.25106,4.200001,2.5,0,1.1,4,1,2,4,7,3,1,4
7,1,7,1,0,2,28.25106,4.5,4,0,0,3,0,0,2,8,2,6.999997,1
14,12,14,12,18,9,28.25106,4.799999,3.5,0.6,0,4,0,1,3,8,3,4,3
3,11,3,11,6,17,28.25106,5.299999,4.5,0,0,3,0,0,2,9,2,3,6
13,8,13,8,16,3,28.25106,5.5,4,0,0.6,4,0,1,3,9,3,3,4.999999
5,5,5,5,6,12,28.25106,5.600002,4,0,0.6,4,0,1,3,9,3,1,7
