StartX, StartZ, PickUpX, PickUpZ, DropDownX, DropDownZ, StartTime, ActualTime, AssumptionTime, WaitForGoalTime, JammingTime, MainStateChangeCount, RedirectStateChangeCount, JamStateChangeCount, PathChangeCount, PathUpdateCount, PathTurnCount, TotalDistanceX, TotalDistanceZ
5,15,5,15,3,9,0,4.3,4,0,0,3,0,0,2,8,2,2,6
10,12,10,12,13,7,0,4.42,4,0,0,3,0,0,2,8,2,3,5
10,18,10,18,4,14,0,5.62,5,0,0,3,0,0,2,10,2,6,4
15,5,15,5,6,4,0,6.22,5,0,0.52,4,0,1,3,11,3,9,1
10,8,10,8,3,5,0,6.22,5,0,0.56,4,0,1,3,11,3,6.999999,3
18,10,18,10,14,1,0,7.3,6.5,0,0,3,0,0,2,13,2,4,8.999997
2,10,2,10,13,14,0,8.619999,7.5,0,0,3,0,0,2,15,2,11,4
15,15,15,15,3,11,0,9.219999,8,0,0,3,0,0,2,16,2,12,4
5,5,5,5,12,13,0,13.42,7.5,0,0.9,4,1,2,4,27,9,9.08,12
10,2,10,2,19,17,0,15.34,12,0,1.12,5,0,2,4,26,4,9,15
13,7,13,7,13,11,16.03372,3.24,2,0.6,0,4,0,1,3,5,2,0,4
12,13,12,13,12,19,16.03372,3.719999,3,0,0,3,0,0,2,6,1,0,6
6,4,6,4,10,7,16.03372,4.32,3.5,0,0,3,0,0,2,7,2,4,3
3,11,3,11,8,9,16.03372,4.32,3.5,0,0,3,0,0,2,7,2,5,2
3,9,3,9,7,13,16.03372,4.919998,4,0,0,3,0,0,2,8,2,4,4
14,1,14,1,17,7,16.03372,5.519999,4.5,0,0,3,0,0,2,9,2,3,6
13,14,13,14,9,1,16.03372,12.36,8.5,0,0.6,4,0,1,3,22,8,6,13
4,14,4,14,15,4,16.03372,13.44,10.5,0,0.6,4,0,1,3,22,3,11,10
3,5,3,5,16,16,16.03372,14.52,12,0,0,3,0,0,2,24,2,13,11
19,17,19,17,3,3,16.03372,18.12,15,0,0,3,0,0,2,30,2,16,14
15,4,15,4,16,11,34.27197,4.920002,4,0,0,3,0,0,2,8,2,1,7
9,1,9,1,16,5,34.27197,6.720001,5.5,0,0,3,0,0,2,11,2,7,4
13,11,13,11,9,5,34.27197,6.84,5,0,0.6,4,0,1,3,11,3,4,6
12,19,12,19,10,11,34.27197,6.84,5,0,0.6,4,0,1,3,11,3,2,8
8,9,8,9,0,13,34.27197,7.32,6,0,0,3,0,0,2,12,2,7.999996,4
10,7,10,7,17,13,34.27197,8.639999,6.5,0,0.6,4,0,1,3,14,3,7,6
16,16,16,16,4,14,34.27197,9.240002,7,0,0.6,4,0,1,3,15,3,12,2
7,13,7,13,16,11,34.27197,10.68,5.5,0.6,1.68,6,1,4,6,16,6,9,4
3,3,3,3,13,17,34.27197,14.52,12,0,0,3,0,0,2,24,2,10,14
17,7,17,7,0,19,34.27197,17.52,14.5,0,0,3,0,0,2,29,2,17,12
16,11,16,11,16,12,51.9118,1.440002,0.5,0.6,0,4,0,1,3,2,2,0,1
0,13,0,13,0,9,51.9118,2.52,2,0,0,3,0,0,2,4,1,0,4
9,5,9,5,16,7,51.9118,5.52,4.5,0,0,3,0,0,2,9,2,7,2
13,17,13,17,16,10,51.9118,6.120003,5,0,0,3,0,0,2,10,2,3,7
10,11,10,11,18,6,51.9118,7.920002,6.5,0,0,3,0,0,2,13,2,8,5
16,12,16,12,7,19,51.9118,9.720001,8,0,0,3,0,0,2,16,2,9,7
4,14,4,14,16,8,51.9118,10.92,9,0,0,3,0,0,2,18,2,12,6
16,5,16,5,11,17,51.9118,11.04,8.5,0,0.6,4,0,1,3,18,3,5,12
17,13,17,13,7,5,51.9118,11.64,9,0,0.6,4,0,1,3,19,3,10,8
0,19,0,19,4,4,51.9118,12.36,9.5,0,0.6,4,1,2,4,21,4,4,15
7,19,7,19,12,18,64.32781,3.719994,3,0,0,3,0,0,2,6,2,5,1
16,7,16,7,14,10,64.32781,4.559998,2.5,0,1.2,5,0,2,4,7,4,2,3
16,8,16,8,12,12,64.32781,5.639999,4,0,0.6,4,0,1,3,9,3,4,4
15,12,15,12,19,7,64.32781,6.839996,4.5,0,0,3,0,0,2,13,7,4,7
7,5,7,5,15,1,64.32781,7.32,6,0,0,3,0,0,2,12,2,8,4
