StartX, StartZ, PickUpX, PickUpZ, DropDownX, DropDownZ, StartTime, ActualTime, AssumptionTime, WaitForGoalTime, JammingTime, MainStateChangeCount, RedirectStateChangeCount, JamStateChangeCount, PathChangeCount, PathUpdateCount, PathTurnCount, TotalDistanceX, TotalDistanceZ
15,5,15,5,14,6,0,1.06,1,0,0,3,0,0,2,2,2,1,1
10,8,10,8,8,10,0,2.12,2,0,0,3,0,0,2,4,2,2,2
5,5,5,5,12,3,0,4.96,4.5,0,0,3,0,0,2,9,2,7,2
5,15,5,15,9,6,0,7.36,6.5,0,0,3,0,0,2,13,2,4,9
15,15,15,15,3,18,0,8.559999,7.5,0,0,3,0,0,2,15,2,12,3
8,10,8,10,13,11,9.263643,3.72,3,0,0,3,0,0,2,6,2,5,1
14,6,14,6,11,9,9.263643,3.72,3,0,0,3,0,0,2,6,2,3,3
12,3,12,3,6,0,9.263643,5.52,4.5,0,0,3,0,0,2,9,2,6,3
9,6,9,6,17,10,9.263643,7.32,6,0,0,3,0,0,2,12,2,8,4
3,18,3,18,0,4,9.263643,10.32,8.5,0,0,3,0,0,2,17,2,3,14
13,11,13,11,19,13,19.68678,4.92,4,0,0,3,0,0,2,8,2,6,2
11,9,11,9,16,14,19.68678,6.119999,5,0,0,3,0,0,2,10,2,5,5
0,4,0,4,8,7,19.68678,6.719999,5.5,0,0,3,0,0,2,11,2,8,3
17,10,17,10,4,3,19.68678,12.12,10,0,0,3,0,0,2,20,2,13,6.999999
6,0,6,0,17,14,19.68678,15.12,12.5,0,0,3,0,0,2,25,2,11,14
16,14,16,14,11,11,34.96651,4.919998,4,0,0,3,0,0,2,8,2,5,3
17,14,17,14,9,16,34.96651,6.119999,5,0,0,3,0,0,2,10,2,8,2
4,3,4,3,1,11,34.96651,6.719997,5.5,0,0,3,0,0,2,11,2,3,8
8,7,8,7,19,4,34.96651,8.519997,7,0,0,3,0,0,2,14,2,11,3
19,13,19,13,7,7,34.96651,10.92,9,0,0,3,0,0,2,18,2,12,6
7,7,7,7,0,7,46.09948,5.040001,3.5,0,0.6,4,0,1,3,8,2,6.999997,0
11,11,11,11,3,12,46.09948,5.52,4.5,0,0,3,0,0,2,9,2,7.999999,1
9,16,9,16,18,19,46.09948,7.32,6,0,0,3,0,0,2,12,2,9,3
1,11,1,11,8,4,46.09948,8.52,7,0,0,3,0,0,2,14,2,7,7
19,4,19,4,2,19,46.09948,20.04,16,0,0.6,4,0,1,3,33,3,17,15
8,4,8,4,9,5,66.26623,1.32,1,0,0,3,0,0,2,2,2,1,1
3,12,3,12,2,18,66.26623,4.32,3.5,0,0,3,0,0,2,7,2,1,6
0,7,0,7,14,14,66.26623,12.71999,10.5,0,0,3,0,0,2,21,2,14,7
18,18,18,18,3,11,66.26623,13.32,11,0,0,3,0,0,2,22,2,15,7
2,19,2,19,19,1,66.26623,21.12,17.5,0,0,3,0,0,2,35,2,17,18
9,5,9,5,3,4,87.48254,5.760002,3.5,1.2,0,5,0,2,4,9,4,5.999999,1
3,11,3,11,3,0,87.48254,6.720001,5.5,0,0,3,0,0,2,11,1,0,11
14,14,14,14,17,5,87.48254,7.32,6,0,0,3,0,0,2,12,2,3,9
2,18,2,18,13,19,87.48254,7.32,6,0,0,3,0,0,2,12,2,11,1
19,1,19,1,4,18,87.48254,19.32,16,0,0,3,0,0,2,32,2,15,17
3,4,3,4,6,11,106.9435,6.120003,5,0,0,3,0,0,2,10,2,3,7
17,5,17,5,8,12,106.9435,9.720001,8,0,0,3,0,0,2,16,2,9,7
13,19,13,19,4,9,106.9435,11.52,9.5,0,0,3,0,0,2,19,2,9,10
4,18,4,18,10,2,106.9435,13.32,11,0,0,3,0,0,2,22,2,6,16
3,0,3,0,14,18,106.9435,17.52,14.5,0,0,3,0,0,2,29,2,11,18
4,9,4,9,2,9,124.5685,1.32,1,0,0,3,0,0,2,2,1,2,0
8,12,8,12,6,11,124.5685,1.919998,1.5,0,0,3,0,0,2,3,2,2,1
14,18,14,18,15,11,124.5685,4.919991,4,0,0,3,0,0,2,8,2,1,7
10,2,10,2,15,9,124.5685,7.32,6,0,0,3,0,0,2,12,2,5,7
6,11,6,11,13,1,124.5685,10.32,8.5,0,0,3,0,0,2,17,2,7,9.999997
6,11,6,11,6,5,135.0517,3.720001,3,0,0,3,0,0,2,6,1,0,6
15,11,15,11,19,15,135.0517,4.920013,4,0,0,3,0,0,2,8,2,4,4
13,1,13,1,6,2,135.0517,4.920013,4,0,0,3,0,0,2,8,2,7,1
2,9,2,9,4,0,135.0517,6.720001,5.5,0,0,3,0,0,2,11,2,2,8.999996
15,9,15,9,4,0,135.0517,12.84001,10,0.6,0,4,0,1,3,20,2,11,8.999996
19,15,19,15,14,7,148.0918,7.919998,6.5,0,0,3,0,0,2,13,2,5,8
4,1,4,1,16,0,148.0918,8.639999,6.5,0,0.6,4,0,1,3,14,3,12,1
4,0,4,0,15,7,148.0918,10.92,9,0,0,3,0,0,2,18,2,11,7
